N,frame,fps
1900,60,18.11604
2200,1,68.95113
2200,2,84.79967
2200,3,78.30164
2200,4,80.16121
2200,5,51.46491
2200,6,82.75438
2200,7,95.17925
2200,8,95.01079
2200,9,86.24788
2200,10,92.56127
2200,11,49.74044
2200,12,48.74814
2200,13,49.33564
2200,14,82.59215
2200,15,78.0153
2200,16,47.99661
2200,17,80.35669
2200,18,44.40945
2200,19,80.10911
2200,20,43.82582
2200,21,77.96961
2200,22,68.05441
2200,23,79.61279
2200,24,87.43059
2200,25,36.86702
2200,26,37.95555
2200,27,67.08728
2200,28,75.84797
2200,29,81.3804
2200,30,32.49115
2200,31,28.91339
2200,32,27.2445
2200,33,73.70137
2200,34,84.55408
2200,35,24.57093
2200,36,22.42632
2200,37,19.88774
2200,38,20.8714
2200,39,18.38778
2200,40,26.88531
2200,41,66.82729
2200,42,24.79389
2200,43,15.81076
2200,44,16.13531
2200,45,16.18293
2200,46,11.68492
2200,47,14.18938
2200,48,13.82144
2200,49,12.71989
2200,50,12.45507
2200,51,12.21069
2200,52,12.04105
2200,53,10.03874
2200,54,11.24818
2200,55,21.04895
2200,56,10.8362
2200,57,10.54612
2200,58,11.05927
2200,59,10.69513
2200,60,10.2572
2500,1,43.99848
2500,2,73.33112
2500,3,71.91765
2500,4,69.10288
2500,5,88.87582
2500,6,42.19022
2500,7,40.24345
2500,8,69.72395
2500,9,78.20413
2500,10,76.58627
2500,11,70.93812
2500,12,70.35627
2500,13,38.40582
2500,14,69.35778
2500,15,40.27023
2500,16,68.56475
2500,17,67.3166
2500,18,38.43731
2500,19,36.88336
2500,20,35.31588
2500,21,84.23521
2500,22,63.03521
2500,23,66.4192
2500,24,32.32924
2500,25,29.57709
2500,26,27.08243
2500,27,25.93943
2500,28,49.46102
2500,29,53.77236
2500,30,24.46455
2500,31,22.64098
2500,32,21.8294
2500,33,17.57003
2500,34,55.95946
2500,35,41.45863
2500,36,47.60869
2500,37,18.54413
2500,38,53.58708
2500,39,17.66872
2500,40,58.10795
2500,41,16.35575
2500,42,15.31909
2500,43,49.48308
2500,44,15.44033
2500,45,14.44007
2500,46,27.28268
2500,47,13.43419
