N,frame,fps
2200,42,23.73063
2200,43,22.02496
2200,44,23.39862
2200,45,22.31605
2200,46,22.24564
2200,47,21.34961
2200,48,20.5746
2200,49,20.82591
2200,50,19.82361
2200,51,20.75306
2200,52,19.53665
2200,53,16.10303
2200,54,15.12915
2200,55,15.97066
2200,56,15.58951
2200,57,13.01834
2200,58,12.55645
2200,59,9.826293
2200,60,11.62538
2500,1,50.77852
2500,2,49.65129
2500,3,48.60778
2500,4,45.34232
2500,5,44.60876
2500,6,39.75258
2500,7,40.56712
2500,8,39.94055
2500,9,39.59085
2500,10,37.83079
2500,11,36.72456
2500,12,35.60826
2500,13,34.96371
2500,14,33.07948
2500,15,23.35707
2500,16,31.00055
2500,17,31.17887
2500,18,31.34065
2500,19,31.23916
2500,20,29.1297
2500,21,28.5387
2500,22,27.38905
2500,23,26.215
2500,24,25.52166
2500,25,24.62943
2500,26,24.74627
2500,27,24.12035
2500,28,22.39744
2500,29,23.09883
2500,30,22.10674
2500,31,20.84156
2500,32,21.48412
2500,33,20.57956
2500,34,20.05125
2500,35,19.84086
2500,36,19.07083
2500,37,18.69471
2500,38,18.81935
2500,39,17.70958
2500,40,17.48057
2500,41,15.53297
2500,42,17.65865
2500,43,17.34953
2500,44,16.01554
2500,45,17.00991
2500,46,16.3521
2500,47,15.4045
2500,48,14.34747
2500,49,14.58706
2500,50,14.57754
2500,51,14.32265
2500,52,13.63511
2500,53,13.84348
2500,54,13.01946
2500,55,12.92551
2500,56,12.51952
2500,57,12.05515
2500,58,12.15461
2500,59,11.96449
2500,60,10.82673
2800,1,42.41056
2800,2,44.87341
2800,3,42.53794
2800,4,39.06847
2800,5,36.54671
2800,6,24.2835
2800,7,35.91916
2800,8,33.83927
2800,9,34.2869
2800,10,33.07685
2800,11,31.32855
2800,12,30.33567
2800,13,30.41829
2800,14,29.18282
2800,15,29.42822
2800,16,27.60373
2800,17,27.37644
2800,18,26.6331
2800,19,25.27396
2800,20,24.77685
2800,21,23.9014
2800,22,24.35547
2800,23,24.72495
2800,24,22.95687
2800,25,21.71641
2800,26,20.87555
2800,27,20.20266
2800,28,18.93972
2800,29,17.60867
2800,30,18.19463
2800,31,17.87883
2800,32,16.46348
2800,33,16.62342
2800,34,16.20433
2800,35,16.17369
2800,36,16.18203
2800,37,15.70804
2800,38,15.58622
2800,39,14.94055
2800,40,14.33388
2800,41,13.95815
2800,42,14.04859
2800,43,13.52842
2800,44,13.09796
2800,45,12.68723
2800,46,12.05144
2800,47,11.91084
2800,48,11.89594
2800,49,11.30239
2800,50,10.2283
2800,51,11.00472
2800,52,10.98036
2800,53,10.03814
2800,54,9.537216
2800,55,9.62256
2800,56,9.110366
2800,57,8.553813
2800,58,8.747407
2800,59,8.235917
2800,60,8.154573
3100,1,31.37492
3100,2,37.77283
3100,3,36.4267
3100,4,34.62434
3100,5,34.6157
3100,6,32.25053
3100,7,30.3039
3100,8,30.73118
3100,9,28.79599
3100,10,28.71946
3100,11,28.71971
3100,12,26.30701
3100,13,25.88128
3100,14,26.46495
3100,15,25.40632
3100,16,18.27095
3100,17,23.39007
3100,18,22.73139
3100,19,22.89654
3100,20,21.85502
3100,21,20.52865
3100,22,19.86739
3100,23,20.17107
3100,24,18.74325
3100,25,18.03833
3100,26,17.55109
3100,27,15.93594
3100,28,15.38562
3100,29,15.30138
3100,30,14.86288
3100,31,13.53579
3100,32,11.10708
3100,33,11.86274
3100,34,11.59
3100,35,11.17417
3100,36,11.08345
3100,37,10.66031
3100,38,10.53024
3100,39,9.766344
3100,40,9.799587
3100,41,9.369196
3100,42,9.17972
3100,43,9.075561
3100,44,8.770667
3100,45,9.02161
3100,46,8.935958
3100,47,8.409179
3100,48,8.292783
3100,49,8.092569
3100,50,7.922469
3100,51,7.851872
3100,52,7.638555
3100,53,7.464325
3100,54,7.365196
3100,55,6.806262
3100,56,7.365474
3100,57,7.274481
3100,58,7.06493
3100,59,7.106217
3100,60,6.918778
